Actual,Predicted RF,Predicted GPR,Predicted KNN
14630.6,11078.00497,21358.38656,14670.16923
13044.55,6722.319227,13220.39389,7711.029487
7156.266667,10294.51049,20121.8204,11661.10769
7166,16249.36009,16823.84563,14491.39744
33403.25,37632.95627,29290.85131,40374.43974
36909.8,29752.16211,25818.43674,26381.20436
10772.9,13341.80182,24534.29859,13194.43205
29682.8,24224.93319,25498.3256,20773.74872
15615.2,16808.39199,18414.49339,12968.30385
34155.63333,30113.45826,25976.68535,28995.2
1309,9463.148735,16892.41506,11712.81154
49825.4,46925.53487,24806.10585,39896.22051
25833.8,41734.17049,36971.71524,45183.39231
46008.95,39736.61571,24367.03026,38437.52821
22390.63333,18757.56822,24637.33855,21888.72359
20002.9,28638.08976,24170.47342,25912.30641
8387.85,8956.179925,17016.854,10657.54615
27262.46667,22295.06194,28435.7704,18824.92436
8907.7,10558.92273,18180.75006,8251.123589
21819.3,53191.22648,24472.25187,45142.2218
14272.6,9472.223083,20854.88062,16029.37564
43061.35,48182.52433,27014.51273,34540.68077
34347.45,46050.11227,32162.21969,44065.58974
52316.95,48013.84738,31849.13985,50072.00769
22363.3,23201.2007,24189.13301,24546.81538
17465.8,16692.19099,22009.71667,17883.70513
6243.3,13909.12723,24500.77246,22421.1518
7326.05,11397.02152,20414.89928,13139.52051
20499.06667,19432.42505,20095.29996,21014.30769
4660.35,12722.23231,15708.88026,11258.96795
15891.4,16193.54347,18192.24152,16242.36667
43562.7,35939.91709,24058.52267,39495.2
24793.89,9350.77048,15972.21513,9214.606923
4133.1,10853.85548,18320.57348,8668.224359
17612.65,13518.53751,16295.52073,11798.61154
21722.43333,16196.89531,22814.77002,14167.80256
16324.2,9977.959823,19819.12639,8195.766667
25826.56667,16480.73132,22707.92773,18022.74872
16285.15,9268.876537,16417.39116,11001.93718
71037.7,64911.59406,38866.5356,50829.17692
2460.2,7947.517185,14739.11637,9116.067949
7937.966667,7969.188333,18981.26626,7570.125641
25516.5,15829.81231,20349.83634,17353.42308
26005.6,20565.43029,32213.95985,17082.25051
19520.8,19151.38627,21211.09231,18848.42436
6413.75,8077.072325,18983.36245,7963.43718
43766.4,37890.62573,25993.72944,34150.33333
6536.2,11119.16226,14711.86447,10539.01282
8015.85,11245.56709,17686.66631,8191.989744
22729.1,22351.27187,21205.39772,20844.70897
3362.1,5586.941557,22697.93499,12750.44359
27595.25,47049.15377,32137.90697,42604.46667
58926.05,56658.92671,32586.49659,53078.93974
44472.6,47747.43278,34809.8108,44978.54487
17158.7,31086.05873,24024.24664,28294.61538
20624.9,28055.32512,22350.13676,26409.33205
51678.4,54184.71296,39293.81918,45183.39231
49553.1,36053.05467,28168.48387,36232.99872
13343.2,20948.81812,26975.14735,19096.64359
26239,24682.57342,23966.87463,26775.25385
19113.9,23641.45253,25387.46482,22490.62179
8073.2,6835.169917,18070.4305,7674.28718
23893.7,20553.73556,27731.26597,17758.30769
18627.95,7960.983725,23318.26575,13076.08974
30814.45,33823.86446,32310.23082,50484.65385
35752.25,20052.19278,29302.09988,33207.70641
11851.3,11679.54586,20491.95989,13455.23846
10947.9,15738.43172,22958.49229,17339.99231
17793.7,18108.97683,32250.00854,15366.57436
24512.7,14389.10483,21590.53037,12454.06026
15036.95,12691.30715,26957.79653,28465.45769
36433.8,31452.1511,28816.83514,35030.22692
24846.7,18540.07374,32051.04307,15328.2141
39745.76667,27181.39999,28852.75854,35300.12821
17843.7,23098.63645,19535.35188,21247.39231
24507.8,24471.03099,30313.92651,34265.89231
8230.8,14711.24359,31860.87545,13147.32744
32826.03333,26858.70767,27064.1968,28037.43462
31701.95,15561.9602,22940.03436,23113.65256
4746.95,8832.338103,18396.84326,11987.04615
17734.86667,13693.52044,23464.60362,20947.07564
28420.95,19660.93226,19713.56226,20510.24615
20113.36667,21315.59695,18804.32563,20292.80385
42535.66667,36695.19612,30867.1853,36654.54872
3437.85,14093.8446,17382.35051,14471.92487
67694.95,61999.94387,37436.19246,48761.57949
8977.7,11642.59203,18916.87285,12246.40897
20586.55,13287.41418,20097.28609,8853.894872
24071.2,12831.10587,31452.48575,12882.43897
13113.6,14532.8231,18043.32033,10784.90128
39079.9,32900.54016,29438.9352,37280.67949
15613.7,15905.67767,19075.3574,10312.23846
57242.75,56133.43601,31009.37642,51537.47436
11935.1,15741.22327,23828.05213,19807.26923
64915.3,74729.85733,38546.11909,58922.68077
9514.75,6706.171878,22252.95485,13290.52051
6053.866667,6389.765692,12811.00707,7300.375641
49922.43333,38048.22496,23999.35027,37384.59744
50178.46667,58248.16376,31311.08454,54311.30718
12236.9,6260.427242,17972.88157,8134.297436
7533.85,10203.71847,19055.49688,8503.638461
32505.25,22636.11377,26191.54277,33854.95897
23733.25,18975.48163,23955.47822,28294.61538
37786.05,24309.58484,28816.09999,37572.43077
3412.35,18364.91114,18016.23759,10770.82231
28808.6,19123.98054,26725.37438,27545.30128
8802.366667,6411.724642,18424.54839,7946.866667
12797.8,6293.918273,15198.87957,8127.397436
13562.25,18368.84926,33485.39083,22873.5782
16511.45,18753.02962,23336.22885,24988.08333
42525.73333,29102.17034,25581.94737,30941.87308
44789.26667,47475.4439,24164.41225,41335.01026
13979.13333,8978.509642,31544.4058,12882.43897
11373.9,9894.119737,17567.13299,11852.92308
59891,50057.87863,28302.96012,39362.51154
16925.66667,19910.48411,24911.09365,24938.27949
35590.6,33561.42753,24215.44096,37756.0859
10427.9,14403.01935,19486.75692,11037.75256
49530.55,44580.27438,30391.72446,55160.62949
10383.25,10478.92174,20623.56385,14678.23846
23135.1,17804.27356,25171.05857,28814.8
19210.25,18720.81519,24957.93247,31329.31538
16979.46667,20252.47837,24561.34556,22383.51538
2328.65,8630.519067,21100.05866,13834.01538
62742.06667,56588.68333,30864.57841,49636.56359
23258.4,36624.95488,31069.41044,40122.76923
84342.53333,44936.89192,32852.53522,42910.86923
5620.266667,9696.054085,19034.8143,9228.470513
8243.733333,12264.52946,26467.14962,40984.98846
47202.25,36971.15455,24138.14572,38662.22564
50646.25,44986.77524,25560.75152,39113.66795
47357.13333,38167.32473,26732.85076,33063.25513
3054,7247.145423,15295.8313,7696.482051
59900.13333,65241.20008,34356.95975,56631.29103
11776.75,10337.36744,17495.22644,14349.06923
73210.25,50304.8658,35360.6952,49539.02308
13511,13520.77098,22679.54422,20050.2641
50584.3,46511.19165,31799.08178,43014.16667
14982.6,11170.34952,20827.09236,12249.17821
61891.93333,48363.54233,26176.05189,34458.52179
13345.7,16959.90477,24112.90274,24151.48718
40055,40875.00434,28073.10544,33620.31282
7168.25,5840.553252,18441.37885,7197.279487
57400.8,24071.40355,28362.74365,19258.26795
14718.4,39276.99285,30705.334,40780.71026
3424.8,6111.004593,13169.59156,7603.454872
19351.1,16909.42514,24281.73029,17673.10769
77785.35,55806.26913,37098.45557,62098.88974
5353.3,28468.10886,32526.49288,54046.70897
23651.45,15931.97339,22039.57472,17985.22179
62849.93333,58732.52374,31870.43349,50072.00769
22036.3,17686.17143,26810.20647,16427.46923
8118.5,11432.0008,21052.27453,12463.53462
4336.366667,21276.77816,31591.88388,12858.0859
57555.9,56888.58973,31074.53771,52425.61667
47252.9,47153.94477,37312.43425,50829.17692
5405,6636.939567,17507.99451,6413.334615
9124.3,9273.087239,18964.69906,8167.655128
11112.35,26169.29352,30387.8855,27217.14231
55193.1,43064.68517,30553.09909,30917.68077
39950.7,26791.24004,27126.4947,38734.35
31919.25,20203.46135,28212.03031,18943.22051
3765.75,5040.856293,15821.57428,9680.144872
27593.89,20377.93956,23806.44933,19373.36538
3542.8,7945.895993,24176.11489,15686.77744
37658,40928.08667,28292.01861,40002.38718
74517.5,62300.02684,36769.23241,60499.29359
54452.75,47273.03979,24981.84679,41325.16154
37049.2,34309.23962,27719.25837,38167.90128
39454.16667,30676.68375,28869.67901,20643.43333
12910.3,12957.62843,16692.54666,12859.30641
2681.45,8816.109755,14597.3008,7609.923077
85978.3,75169.23521,37720.33848,63993.33974
26123.55,23245.4902,27486.57313,27571.44744
16205.2,13894.59976,19778.61869,21019.69154
35722.05,17978.57253,27200.94312,26812.41538
45054.3,44351.37662,30757.48392,38898.55128
5787.8,7148.65981,15407.51144,9005.149231
18382.6,13293.30133,21801.82949,12557.39615
15728.35,9924.385933,23560.20639,12398.32436
28237.5,31023.55207,35464.91793,26042.43461
25096.2,16896.83294,25328.82734,17382.84231
10523.9,14307.6276,17861.11592,9483.971025
24919.55,38570.49912,29142.83195,50062.77
22558.53333,20015.11936,31735.60551,15563.20821
55164.7,36440.21653,30259.16339,35633.24872
4939.8,10566.89675,19426.39777,7847.047436
21850.6,12086.6157,24561.28212,17288.09795
1737.4,12254.68003,25012.18147,24554.70949
50284.63333,43290.73986,25589.83501,41595.47436
9151,13168.25654,24985.46335,21892.92359
11110.15,15781.18152,16804.12139,14491.39744
83502.9,67967.84015,35265.78591,49105.46026
63986.86667,60043.48539,29797.39291,52337.87385
10208.1,6686.894065,20047.74129,7563.362821
51563.95,47612.81413,35161.72047,56650.14103
31077.7,23992.48552,26258.41614,22698.45385
17818.2,25558.15735,31825.37969,20616.6359
8123.5,8200.757737,18189.6931,9373.289744
23167,13808.19447,33616.05669,23340.11667
16654.25,15360.22701,20823.98855,15940.04359
3657.433333,13567.40968,22604.38109,16830.75256
28309.4,39288.35744,23447.84881,30721.07949
5443.966667,12772.80817,15864.07076,10574.85385
3108.4,9669.460726,23143.49185,11912.56795
15772.45,15935.29499,21690.54535,16164.83205
32174.85,26388.58974,25540.07974,27553.83385
75180,51059.63734,28269.88159,39111.64615
56092,45920.07946,32399.71949,46309.91667
35183.1,46548.19724,24049.63373,26245.0782
4217.066667,15322.7059,25535.18303,21071.43
48974.25,46251.79158,24519.29295,44958.00769
55359.66667,58723.29972,36907.58458,59230.64872
17133.9,23238.29552,19962.3356,21186.66154
9748.75,19020.07473,18676.38785,17620.66846
33678.75,20114.8746,21078.3876,22943.19487
40878.4,34287.47811,23570.63753,37294.28974
37905.8,19338.00418,28377.90443,35300.12821
3307.05,2879.353098,14947.04272,4791.960256
598.1,9222.662453,19930.35159,12655.47692
24793.89,50599.60617,38716.87269,61226.8359
5093.35,9417.907598,14723.26033,6429.930769
3012.8,13756.6085,20330.04416,11271.61282
89408.3,69912.68484,35893.97561,48832.1718
18050.9,14852.10754,24641.44604,13771.8359
69409.6,74446.73455,38667.95663,58011.59744
27465.23333,23221.59378,26677.85065,27487.70513
63871.15,55870.6563,36017.95345,53689.49231
3232.65,9340.363279,19902.18582,7652.735898
25104,21280.09983,22712.02829,17081.26667
18498.7,14188.76213,23856.44117,17633.21205
30319.9,41762.57446,23968.76454,40420.67692
7411.9,6221.837727,18202.70152,7171.383333
37245.2,31123.7435,31446.56013,42315.97949
2924.45,5922.622688,12795.1824,8311.979487
6672.2,10377.08231,16195.56513,10939.85897
45793.06667,33887.90015,36282.39714,26042.43461
35474.2,34348.598,27339.95062,27288.09026
26925.56667,38600.30564,37234.50896,48777.41282
30833.6,21595.37877,27332.86954,17448.9
17169.45,25042.36662,24199.16259,20638.52949
47163.85,40740.73125,30810.7764,38146.9218
16899.05,26378.62491,28640.39157,25919.50385
10024.76667,9517.25169,15526.84571,11197.11667
61271.5,58119.61211,30065.65637,50524.66538
4086.6,9927.87487,17627.42814,8283.897436
17274.35,14258.11587,17614.44042,12240.61154
29636.15,25777.94453,30822.0106,36966.9218
36208.55,40118.77586,24225.03372,39499.29231
14280.6,20218.47958,29637.47532,29887.77179
8313.7,4552.510975,15238.97415,9894.631282
4369.6,9619.413324,20153.623,7757.651282
93005.15,53007.27728,40168.54236,39997.67051
5656.35,18573.53942,19740.24982,21186.66154
4106.6,9091.71488,24338.73111,16516.27103
11567.1,14905.31008,19539.79081,9909.124359
10648.1,8838.302533,20614.13588,11057.36538
10280.33333,16522.81175,24606.43705,19948.24744
32823.4,33961.6304,24640.69767,29358.92179
20898.4,15275.35247,27198.54756,14445.15128
25162.4,21724.05192,33020.47835,17082.25051
20413.1,15115.65462,21293.78371,13706.53205
24413.2,18114.75479,17383.75348,16579.27872
40082.46667,26411.55444,26082.89324,34099.22051
4132.9,6292.737808,18530.39442,7946.866667
512.5,10866.8476,16578.37566,9801.088462
13091.6,15742.01551,18872.99603,9896.838462
50335.25,45276.85637,30978.49416,37639.40513
9904.15,11521.28466,17139.69143,10195.45051
26745.5,18959.83996,23019.66682,18885.40513
67704.35,61382.92134,31026.16578,56538.67641
51865.95,58474.60185,33748.29864,56387.61795
23102.13333,13389.0424,19752.27432,13463.47949
14374.8,10482.39954,16924.25882,11531.60769
20812.25,22814.19248,31367.254,37282.58077
